session_id,station_id,user_id,energy_kwh,kwh_requested,shortfall_kwh,idle_h,p2_label
1_1_178_817_2018-09-13 15:24:32.185314,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-09-14 14:26:26.716890,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-09-17 14:08:14.125501,1-1-178-817,user-378,,5.0,,,ENERGY_MET
1_1_178_817_2018-09-18 13:43:47.796335,1-1-178-817,user-405,,10.0,,,ENERGY_MET
1_1_178_817_2018-09-18 23:05:53.946381,1-1-178-817,user-467,,17.0,,,ENERGY_MET
1_1_178_817_2018-09-19 12:47:54.028274,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-09-19 22:36:38.298341,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-09-20 13:29:27.952276,1-1-178-817,user-322,,17.5,,,ENERGY_MET
1_1_178_817_2018-09-21 13:25:07.407473,1-1-178-817,user-322,,15.0,,,ENERGY_MET
1_1_178_817_2018-09-24 13:32:07.971864,1-1-178-817,user-322,,10.0,,,ENERGY_MET
1_1_178_817_2018-09-24 23:00:28.130406,1-1-178-817,user-341,,12.0,,,ENERGY_MET
1_1_178_817_2018-09-25 13:50:15.087669,1-1-178-817,user-414,,14.0,,,ENERGY_MET
1_1_178_817_2018-09-26 13:26:00.526916,1-1-178-817,user-322,,17.5,,,ENERGY_MET
1_1_178_817_2018-09-27 13:30:28.147830,1-1-178-817,user-322,,17.5,,,ENERGY_MET
1_1_178_817_2018-09-27 18:27:04.466007,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-09-28 15:23:37.737673,1-1-178-817,user-431,,28.0,,,ENERGY_MET
1_1_178_817_2018-09-28 21:46:24.049216,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-01 13:31:05.967166,1-1-178-817,user-176,,18.75,,,ENERGY_MET
1_1_178_817_2018-10-02 13:39:46.033611,1-1-178-817,user-176,,18.75,,,ENERGY_MET
1_1_178_817_2018-10-03 13:42:35.005120,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-04 13:26:17.187424,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-04 22:52:18.191234,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-05 13:46:02.942419,1-1-178-817,,,,,,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-08 13:28:52.700696,1-1-178-817,user-409,,12.0,,,ENERGY_MET
1_1_178_817_2018-10-08 20:54:24.215877,1-1-178-817,,,,,0.25194444444444447,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-09 13:25:35.226369,1-1-178-817,user-176,,18.75,,2.890277777777778,ENERGY_MET
1_1_178_817_2018-10-09 21:42:42.359735,1-1-178-817,user-405,,10.0,,3.1616666666666666,ENERGY_MET
1_1_178_817_2018-10-10 13:24:59.178059,1-1-178-817,,,,,2.421666666666667,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-11 01:44:19.427675,1-1-178-817,,,,,1.4777777777777779,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-11 14:17:07.592815,1-1-178-817,,,,,7.216944444444445,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-12 15:26:28.280736,1-1-178-817,,,,,-0.01638888888888889,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-12 16:51:11.746500,1-1-178-817,,,,,-0.01638888888888889,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-12 18:15:55.282681,1-1-178-817,,,,,0.24666666666666667,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-13 01:44:39.735680,1-1-178-817,user-551,,8.88,,0.4886111111111111,ENERGY_MET
1_1_178_817_2018-10-13 17:13:03.600389,1-1-178-817,user-335,,15.125,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-10-13 23:35:18.711704,1-1-178-817,,,,,1.2847222222222223,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-14 17:05:45.468114,1-1-178-817,,,,,2.6372222222222224,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-15 14:01:18.159642,1-1-178-817,user-443,,28.0,,1.9991666666666668,ENERGY_MET
1_1_178_817_2018-10-16 13:46:24.417903,1-1-178-817,user-576,,40.0,,0.6125,ENERGY_MET
1_1_178_817_2018-10-16 18:24:26.759026,1-1-178-817,user-346,,11.19,,2.0769444444444445,ENERGY_MET
1_1_178_817_2018-10-16 23:12:37.164744,1-1-178-817,,,,,0.0022222222222222222,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-17 13:39:22.282314,1-1-178-817,user-176,,18.75,,5.481111111111111,ENERGY_MET
1_1_178_817_2018-10-18 13:43:33.989455,1-1-178-817,user-409,,12.0,,0.0022222222222222222,ENERGY_MET
1_1_178_817_2018-10-19 14:10:48.891207,1-1-178-817,user-372,,9.0,,7.786666666666667,ENERGY_MET
1_1_178_817_2018-10-22 13:30:12.046067,1-1-178-817,user-176,,18.75,,4.883333333333334,ENERGY_MET
1_1_178_817_2018-10-23 13:31:02.681240,1-1-178-817,user-176,,18.75,,4.169722222222222,ENERGY_MET
1_1_178_817_2018-10-23 23:00:00.955437,1-1-178-817,,,,,6.859166666666667,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-24 12:39:44.614426,1-1-178-817,user-933,,16.0,,0.03111111111111111,ENERGY_MET
1_1_178_817_2018-10-24 23:50:53.490334,1-1-178-817,user-433,,14.3,,0.0325,ENERGY_MET
1_1_178_817_2018-10-25 12:06:38.127001,1-1-178-817,user-933,,40.0,,0.5408333333333334,ENERGY_MET
1_1_178_817_2018-10-26 14:19:18.489628,1-1-178-817,,,,,6.207222222222223,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-27 20:46:19.817616,1-1-178-817,user-933,,61.75,,0.0022222222222222222,ENERGY_MET
1_1_178_817_2018-10-28 17:45:50.327296,1-1-178-817,,,,,4.7508333333333335,UNCLAIMED_NO_DATA
1_1_178_817_2018-10-29 13:30:44.368476,1-1-178-817,user-176,,18.75,,5.166944444444445,ENERGY_MET
1_1_178_817_2018-10-30 13:40:07.232998,1-1-178-817,user-176,,18.75,,0.6713888888888889,ENERGY_MET
1_1_178_817_2018-10-30 19:34:58.721850,1-1-178-817,user-531,,6.82,,0.37555555555555553,ENERGY_MET
1_1_178_817_2018-10-31 00:18:46.479605,1-1-178-817,user-405,,10.0,,4.098611111111111,ENERGY_MET
1_1_178_817_2018-10-31 13:49:14.453517,1-1-178-817,user-576,,24.0,,6.9675,ENERGY_MET
1_1_178_817_2018-11-01 13:46:56.052928,1-1-178-817,user-414,,15.0,,6.475,ENERGY_MET
1_1_178_817_2018-11-02 13:28:43.875289,1-1-178-817,user-176,,18.75,,5.226944444444444,ENERGY_MET
1_1_178_817_2018-11-05 14:29:07.838704,1-1-178-817,user-176,,16.65,,2.3655555555555554,ENERGY_MET
1_1_178_817_2018-11-06 14:21:30.160417,1-1-178-817,user-553,,16.0,,6.515555555555555,ENERGY_MET
1_1_178_817_2018-11-07 13:31:30.712020,1-1-178-817,user-933,,29.25,,5.810833333333333,ENERGY_MET
1_1_178_817_2018-11-08 15:04:02.679065,1-1-178-817,user-409,,12.0,,6.358888888888889,ENERGY_MET
1_1_178_817_2018-11-09 15:32:55.838059,1-1-178-817,,,,,1.966388888888889,UNCLAIMED_NO_DATA
1_1_178_817_2018-11-12 14:46:04.099726,1-1-178-817,user-576,,24.0,,2.5244444444444443,ENERGY_MET
1_1_178_817_2018-11-12 19:39:29.617162,1-1-178-817,user-342,,90.0,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-11-13 19:55:51.521765,1-1-178-817,user-1060,,20.0,,1.0191666666666668,ENERGY_MET
1_1_178_817_2018-11-14 14:32:42.944415,1-1-178-817,user-378,,40.0,,1.878611111111111,ENERGY_MET
1_1_178_817_2018-11-15 14:33:05.782863,1-1-178-817,user-322,,18.78,,0.6930555555555555,ENERGY_MET
1_1_178_817_2018-11-15 19:08:52.763090,1-1-178-817,,,,,2.942222222222222,UNCLAIMED_NO_DATA
1_1_178_817_2018-11-16 14:15:25.090053,1-1-178-817,user-462,,4.0,,5.108888888888889,ENERGY_MET
1_1_178_817_2018-11-16 21:19:00.141585,1-1-178-817,user-741,,79.92,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-11-19 00:02:17.653963,1-1-178-817,user-933,,55.25,,0.003611111111111111,ENERGY_MET
1_1_178_817_2018-11-19 14:14:47.562131,1-1-178-817,,,,,7.868333333333333,UNCLAIMED_NO_DATA
1_1_178_817_2018-11-20 14:37:06.785738,1-1-178-817,user-414,,15.0,,6.267222222222222,ENERGY_MET
1_1_178_817_2018-11-21 15:44:40.820396,1-1-178-817,user-335,,15.125,,0.0011111111111111111,ENERGY_MET
1_1_178_817_2018-11-25 20:15:29.418310,1-1-178-817,user-462,,4.0,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-11-26 14:52:20.462940,1-1-178-817,user-576,,36.0,,0.01972222222222222,ENERGY_MET
1_1_178_817_2018-11-26 19:33:26.747826,1-1-178-817,user-76,,24.0,,0.0016666666666666668,ENERGY_MET
1_1_178_817_2018-11-27 14:53:46.589668,1-1-178-817,,,,,2.274722222222222,UNCLAIMED_NO_DATA
1_1_178_817_2018-11-28 00:35:13.484347,1-1-178-817,user-76,,12.0,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-11-29 14:58:21.091911,1-1-178-817,user-576,,40.0,,6.159722222222222,ENERGY_MET
1_1_178_817_2018-11-30 14:46:11.520649,1-1-178-817,user-576,,32.0,,5.041944444444445,ENERGY_MET
1_1_178_817_2018-11-30 22:58:58.004244,1-1-178-817,user-220,,18.75,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-12-03 05:32:44.759747,1-1-178-817,user-449,,20.0,,0.001388888888888889,ENERGY_MET
1_1_178_817_2018-12-03 14:27:57.351490,1-1-178-817,user-371,,18.0,,5.561944444444444,ENERGY_MET
1_1_178_817_2018-12-04 14:33:35.262595,1-1-178-817,user-553,,16.0,,1.18,ENERGY_MET
1_1_178_817_2018-12-04 19:16:19.828928,1-1-178-817,user-346,,18.65,,2.346111111111111,ENERGY_MET
1_1_178_817_2018-12-05 14:38:37.940916,1-1-178-817,user-176,,16.65,,4.666666666666667,ENERGY_MET
1_1_178_817_2018-12-05 23:55:11.263005,1-1-178-817,user-607,,21.84,,0.5113888888888889,ENERGY_MET
1_1_178_817_2018-12-06 15:01:24.583401,1-1-178-817,user-576,,28.0,,6.988333333333333,ENERGY_MET
1_1_178_817_2018-12-07 16:35:26.641666,1-1-178-817,user-431,,21.0,,2.988611111111111,ENERGY_MET
1_1_178_817_2018-12-10 14:44:24.811806,1-1-178-817,user-396,,75.0,,2.9272222222222224,ENERGY_MET
1_1_178_817_2018-12-11 14:27:15.553538,1-1-178-817,user-322,,21.91,,1.8655555555555556,ENERGY_MET
1_1_178_817_2018-12-12 14:53:30.930420,1-1-178-817,user-409,,12.0,,0.001388888888888889,ENERGY_MET
