station_id,n_total,n_anomalies,anomaly_rate
1-1-179-790,128,9,0.0703125
1-1-179-796,122,6,0.04918032786885246
1-1-193-816,156,6,0.038461538461538464
1-1-191-793,111,4,0.036036036036036036
1-1-194-826,165,5,0.030303030303030304
1-1-194-822,174,5,0.028735632183908046
1-1-191-785,110,3,0.02727272727272727
1-1-178-823,260,7,0.026923076923076925
1-1-191-805,112,3,0.026785714285714284
1-1-179-783,124,3,0.024193548387096774
1-1-179-794,127,3,0.023622047244094488
1-1-194-821,216,5,0.023148148148148147
1-1-179-799,141,3,0.02127659574468085
1-1-191-786,110,2,0.01818181818181818
1-1-191-784,111,2,0.018018018018018018
1-1-178-824,167,3,0.017964071856287425
1-1-191-806,112,2,0.017857142857142856
1-1-179-791,120,2,0.016666666666666666
1-1-179-788,124,2,0.016129032258064516
1-1-191-778,125,2,0.016
1-1-179-779,126,2,0.015873015873015872
1-1-191-808,128,2,0.015625
1-1-178-828,200,3,0.015
1-1-193-819,212,3,0.014150943396226415
1-1-179-810,148,2,0.013513513513513514
1-1-193-825,164,2,0.012195121951219513
1-1-178-817,168,2,0.011904761904761904
1-1-194-818,173,2,0.011560693641618497
1-1-193-829,196,2,0.01020408163265306
1-1-193-820,207,2,0.00966183574879227
1-1-191-792,107,1,0.009345794392523364
1-1-191-803,107,1,0.009345794392523364
1-1-191-812,111,1,0.009009009009009009
1-1-191-807,114,1,0.008771929824561403
1-1-191-811,120,1,0.008333333333333333
1-1-179-781,125,1,0.008
1-1-179-809,128,1,0.0078125
1-1-179-815,130,1,0.007692307692307693
1-1-179-787,133,1,0.007518796992481203
1-1-179-801,134,1,0.007462686567164179
1-1-179-798,135,1,0.007407407407407408
1-1-179-800,146,1,0.00684931506849315
1-1-179-797,122,0,0.0
1-1-179-777,133,0,0.0
1-1-191-804,114,0,0.0
1-1-191-802,117,0,0.0
1-1-191-795,120,0,0.0
1-1-191-789,118,0,0.0
1-1-191-782,118,0,0.0
1-1-179-813,124,0,0.0
1-1-191-780,110,0,0.0
1-1-193-827,196,0,0.0
